row_id,row_code,study_year,study_country,study_continent,page_id,page_link,author_id,affiliation_text,affiliation_country,affiliation_type,affiliation_extra_info,affiliation_continent,uniqueauthor,lead_author
87,Africa30,2017,Tanzania,Africa,8086,https://www.conservationevidence.com/individual-study/8086,3,"Biodiversity & Wildlife Solutions, RESOLVE, 1255 23rd St. NW, Washington, DC, 20037, USA.",USA,NGO,,North America,8086 3,0
88,Africa30,2017,Tanzania,Africa,8086,https://www.conservationevidence.com/individual-study/8086,4,"Biodiversity & Wildlife Solutions, RESOLVE, 1255 23rd St. NW, Washington, DC, 20037, USA.",USA,NGO,,North America,8086 4,0
89,Africa30,2017,Tanzania,Africa,8086,https://www.conservationevidence.com/individual-study/8086,5,"Tanzania Wildlife Research Institute, Arusha, Tanzania",Tanzania,Government,,Africa,8086 5,0
90,Africa30,2017,Tanzania,Africa,8086,https://www.conservationevidence.com/individual-study/8086,6,"Mara Elephant Project, Indianapolis, USA",USA,NGO,,North America,8086 6,0
91,Africa30,2017,Tanzania,Africa,8086,https://www.conservationevidence.com/individual-study/8086,7,"Biodiversity & Wildlife Solutions, RESOLVE, 1255 23rd St. NW, Washington, DC, 20037, USA.",USA,NGO,,North America,8086 7,0
92,Africa30,2017,Tanzania,Africa,8086,https://www.conservationevidence.com/individual-study/8086,8,"Biodiversity & Wildlife Solutions, RESOLVE, 1255 23rd St. NW, Washington, DC, 20037, USA.",USA,NGO,,North America,8086 8,0
93,Africa30,2017,Tanzania,Africa,8086,https://www.conservationevidence.com/individual-study/8086,9,"Biodiversity & Wildlife Solutions, RESOLVE, 1255 23rd St. NW, Washington, DC, 20037, USA.",USA,NGO,,North America,8086 9,1
94,Africa30,2017,Tanzania,Africa,8086,https://www.conservationevidence.com/individual-study/8086,10,"Biodiversity & Wildlife Solutions, RESOLVE, 1255 23rd St. NW, Washington, DC, 20037, USA.",USA,NGO,,North America,8086 10,0
95,Africa31,2013,South Africa,Africa,6728,https://www.conservationevidence.com/individual-study/6728,1,"Scientific Services, Garden Route, South African National Parks, PO Box 176, Sedgefield, 6573, South Africa",South Africa,Government,,Africa,6728 1,1
96,Africa31,2013,South Africa,Africa,6728,https://www.conservationevidence.com/individual-study/6728,2,"Botany Department, Nelson Mandela Metropolitan University, PO Box 7700, Port Elizabeth, 6031, South Africa",South Africa,University,,Africa,6728 2,0
97,Africa31,2013,South Africa,Africa,6728,https://www.conservationevidence.com/individual-study/6728,3,"Centre for Invasion Biology, CSIR Natural Resources and the Environment, PO Box 320, Stellenbosch, 7599, South Africa",South Africa,Government,,Africa,6728 3,0
98,Africa31,2013,South Africa,Africa,6728,https://www.conservationevidence.com/individual-study/6728,4,"Scientific Services, CapeNature, Private Bag X658, Oudtshoorn, 6620, South Africa",South Africa,Government,,Africa,6728 4,1
99,Africa32,2012,Ethiopia,Africa,5580,https://www.conservationevidence.com/individual-study/5580,1,"Department of International Studies, University of Tokyo,
5-1-5 Kashiwanoha, Kashiwa, Chiba 277-8563, Japan",Japan,University,,Asia,5580 1,1
100,Africa32,2012,Ethiopia,Africa,5580,https://www.conservationevidence.com/individual-study/5580,2,"Department of International Studies, University of Tokyo,
5-1-5 Kashiwanoha, Kashiwa, Chiba 277-8563, Japan",Japan,University,,Asia,5580 2,1
101,Africa33,2013,South Africa,Africa,7626,https://www.conservationevidence.com/individual-study/7626,1,"Amarula Elephant Research Programme, School of Life Sciences, University of KwaZulu-Natal, Durban, South Africa",South Africa,University,,Africa,7626 1,1
102,Africa33,2013,South Africa,Africa,7626,https://www.conservationevidence.com/individual-study/7626,2,"Amarula Elephant Research Programme, School of Life Sciences, University of KwaZulu-Natal, Durban, South Africa",South Africa,University,,Africa,7626 2,0
103,Africa33,2013,South Africa,Africa,7626,https://www.conservationevidence.com/individual-study/7626,3,"Department of Fisheries and Wildlife Sciences, University of Missouri, Columbia, MO, USA",USA,University,,North America,7626 3,1
104,Africa34,2009,Kenya,Africa,5218,https://www.conservationevidence.com/individual-study/5218,1,"International Centre of Insect Physiology and Ecology, Plant Health Division, P.O. Box 30772, Nairobi 00100, Kenya",Kenya,NGO,IGO,Africa,5218 1,1
